EmployeeID,Location,Department,SubmissionDate,IdeaTitle
GF10583,Berlin,Environmental Policy,2023-11-19,Sustainable Design Plan
GF10518,Toronto,Consulting,2023-04-11,Future Technology Plan
GF10087,Berlin,Consulting,2022-09-22,Renewable Energy Plan
GF11196,Tokyo,Environmental Policy,2023-12-11,Sustainable Housing Approach
GF11764,Berlin,Renewable Energy,2023-11-26,Urban Energy Approach
GF12349,Mexico City,Renewable Energy,2022-04-25,Green Infrastructure Solution
GF11954,Stockholm,Environmental Policy,2021-01-30,Green Housing Model
GF11087,Toronto,Urban Development,2023-05-12,Eco Energy Model
GF11923,Mumbai,Urban Development,2022-07-28,Sustainable Infrastructure Initiative
GF10151,London,Engineering,2022-08-31,Green Transport Approach
GF11250,Tokyo,Renewable Energy,2023-10-31,Green Housing Initiative
GF11407,Berlin,Renewable Energy,2021-08-03,Sustainable Energy Strategy
GF12137,Johannesburg,Urban Development,2023-04-21,Sustainable Infrastructure Project
GF11979,New York,Urban Development,2022-10-22,Sustainable Infrastructure Project
GF10848,Toronto,Renewable Energy,2020-09-20,Clean Transport Model
GF12495,Seoul,Environmental Policy,2022-12-14,Green Systems Strategy
GF12159,Toronto,Urban Development,2021-03-09,Eco Transport Solution
GF12314,Mumbai,Consulting,2021-09-13,Urban Transport Strategy
GF11292,London,Renewable Energy,2020-12-06,Future Policy Project
GF10052,Dubai,Renewable Energy,2022-11-02,Urban Technology Project
GF11632,Mumbai,Renewable Energy,2022-08-18,Renewable Housing Project
GF12101,São Paulo,Urban Development,2022-12-25,Renewable Energy Solution
GF11780,Tokyo,Research,2022-07-24,Green Policy Plan
GF12206,Tokyo,Consulting,2022-08-06,Future Energy Plan
GF12444,Berlin,Consulting,2022-08-30,Clean Design Approach
GF11992,Singapore,Urban Development,2023-03-30,Sustainable Housing Project
GF12133,Mexico City,Renewable Energy,2020-01-04,Urban Transport Plan
GF11719,Toronto,Environmental Policy,2020-01-23,Sustainable Infrastructure Plan
GF11535,Mumbai,Urban Development,2022-07-31,Renewable Housing Approach
GF12090,São Paulo,Renewable Energy,2022-08-12,Smart Infrastructure Solution
GF10131,Mumbai,Engineering,2022-01-21,Urban Technology Plan
GF10744,Singapore,Environmental Policy,2023-08-15,Sustainable Infrastructure Plan
GF10339,Johannesburg,Urban Development,2023-01-13,Renewable Systems Project
GF11995,London,Research,2021-06-07,Future Design Approach
GF11073,Sydney,Engineering,2020-07-01,Renewable Infrastructure Plan
GF10697,New York,Consulting,2022-10-23,Green Infrastructure Framework
GF11372,New York,Urban Development,2020-01-31,Renewable Transport Plan
GF11381,São Paulo,Renewable Energy,2020-01-13,Urban Systems Model
GF12271,London,Urban Development,2021-10-02,Sustainable Energy Plan
GF11603,Mexico City,Consulting,2020-10-26,Smart Design Solution
GF10301,Mumbai,Renewable Energy,2022-01-22,Green Technology Solution
GF11871,Singapore,Consulting,2020-02-03,Clean Transport Model
GF11588,London,Environmental Policy,2023-10-03,Eco Housing Approach
GF12348,São Paulo,Renewable Energy,2021-09-03,Renewable Energy Approach
GF11377,São Paulo,Engineering,2020-09-27,Eco Transport Project
GF10067,New York,Research,2023-04-24,Future Policy Initiative
GF10775,New York,Renewable Energy,2023-05-29,Future Policy Initiative
GF12402,Singapore,Urban Development,2022-08-25,Eco Systems Initiative
GF10362,Tokyo,Engineering,2020-11-26,Renewable Infrastructure Strategy
GF11489,Singapore,Research,2022-01-22,Green Infrastructure Initiative
GF10053,São Paulo,Urban Development,2021-02-05,Future Technology Solution
GF11442,Berlin,Research,2022-06-13,Eco Systems Approach
GF10939,Paris,Urban Development,2020-01-23,Urban Transport Project
GF11662,Johannesburg,Environmental Policy,2021-09-10,Renewable Energy Framework
GF12180,Tokyo,Consulting,2020-08-23,Eco Design Plan
GF12053,London,Urban Development,2021-04-27,Renewable Infrastructure Solution
GF10245,Tokyo,Environmental Policy,2022-01-21,Smart Policy Solution
GF11179,Berlin,Research,2023-08-03,Sustainable Design Solution
GF12027,Singapore,Renewable Energy,2020-03-10,Urban Housing Approach
GF10956,Seoul,Urban Development,2021-08-30,Eco Transport Model
GF12229,Tokyo,Consulting,2020-02-19,Future Technology Framework
GF11982,Sydney,Research,2021-12-13,Urban Design Model
GF10728,São Paulo,Research,2023-05-04,Clean Transport Project
GF10630,Singapore,Consulting,2023-06-10,Green Systems Initiative
GF12198,New York,Environmental Policy,2022-02-01,Sustainable Transport Plan
GF11821,Berlin,Engineering,2020-05-15,Renewable Housing Solution
GF11551,New York,Consulting,2021-08-27,Future Energy Project
GF11890,Tokyo,Research,2020-04-11,Future Design Model
GF10181,Toronto,Research,2020-06-19,Clean Housing Project
GF10042,Mumbai,Renewable Energy,2023-01-28,Sustainable Housing Strategy
GF10552,London,Environmental Policy,2022-01-08,Clean Energy Framework
GF11870,London,Research,2021-09-09,Future Design Solution
GF10792,Tokyo,Urban Development,2021-11-09,Renewable Systems Plan
GF10087,Mumbai,Renewable Energy,2022-09-07,Clean Policy Framework
GF11051,Johannesburg,Renewable Energy,2021-09-19,Smart Housing Approach
GF11442,São Paulo,Research,2022-09-21,Clean Policy Initiative
GF11114,Johannesburg,Renewable Energy,2021-11-09,Renewable Transport Initiative
GF11779,Berlin,Environmental Policy,2022-09-25,Urban Technology Project
GF11722,Tokyo,Engineering,2023-09-07,Eco Housing Project
GF10002,Tokyo,Engineering,2023-05-30,Eco Policy Plan
GF10445,New York,Research,2020-10-23,Renewable Systems Strategy
GF10257,Dubai,Engineering,2022-01-25,Green Housing Plan
GF12091,Tokyo,Research,2023-01-04,Future Policy Plan
GF11455,São Paulo,Renewable Energy,2023-03-19,Green Policy Framework
GF10364,São Paulo,Environmental Policy,2021-03-28,Future Systems Solution
GF10340,Toronto,Renewable Energy,2021-05-26,Future Systems Initiative
GF11775,London,Environmental Policy,2020-10-17,Renewable Energy Project
GF10036,Seoul,Renewable Energy,2023-10-16,Smart Systems Strategy
GF12195,Mexico City,Urban Development,2020-04-22,Eco Technology Approach
GF11547,New York,Renewable Energy,2023-07-29,Renewable Housing Framework
GF10301,Tokyo,Engineering,2023-02-26,Future Energy Initiative
GF12239,Toronto,Renewable Energy,2023-03-30,Renewable Housing Model
GF11656,Mexico City,Urban Development,2022-07-04,Clean Housing Strategy
GF10120,Seoul,Renewable Energy,2023-06-10,Sustainable Housing Approach
GF11321,New York,Urban Development,2020-06-09,Smart Energy Strategy
GF11076,São Paulo,Renewable Energy,2020-06-15,Green Systems Strategy
GF11936,Dubai,Urban Development,2021-04-18,Green Policy Framework
GF10136,Berlin,Renewable Energy,2022-01-01,Green Policy Model
GF12301,Sydney,Urban Development,2021-10-14,Eco Energy Approach
GF11372,New York,Environmental Policy,2023-05-03,Future Technology Initiative
GF11697,Mumbai,Consulting,2021-09-24,Renewable Transport Model
GF11427,Johannesburg,Environmental Policy,2021-12-15,Smart Energy Model
GF10098,Seoul,Environmental Policy,2023-07-08,Future Energy Framework
GF10672,London,Renewable Energy,2020-01-18,Future Infrastructure Strategy
GF11717,Berlin,Urban Development,2022-03-31,Green Systems Model
GF10264,New York,Urban Development,2022-06-11,Sustainable Technology Initiative
GF10590,Toronto,Urban Development,2023-08-29,Smart Policy Strategy
GF11525,São Paulo,Engineering,2022-06-27,Clean Technology Framework
GF10963,London,Urban Development,2022-05-15,Urban Infrastructure Plan
GF10322,Tokyo,Renewable Energy,2020-01-23,Clean Policy Plan
GF10235,Paris,Research,2023-12-12,Renewable Policy Solution
GF12125,São Paulo,Engineering,2023-05-21,Smart Energy Framework
GF11587,Toronto,Urban Development,2021-03-19,Renewable Design Strategy
GF12202,Sydney,Engineering,2020-05-24,Future Energy Plan
GF11255,Sydney,Research,2020-05-09,Eco Technology Plan
GF10599,London,Renewable Energy,2021-03-11,Sustainable Infrastructure Solution
GF11193,Singapore,Urban Development,2020-06-17,Sustainable Technology Model
GF11595,Johannesburg,Engineering,2021-01-31,Renewable Housing Project
GF11510,New York,Urban Development,2022-04-14,Clean Technology Strategy
GF10519,Dubai,Engineering,2022-02-12,Urban Infrastructure Solution
GF12192,Tokyo,Urban Development,2022-05-25,Clean Housing Initiative
GF11384,Tokyo,Environmental Policy,2020-11-08,Renewable Infrastructure Approach
GF12119,Mumbai,Urban Development,2022-02-06,Clean Housing Plan
GF10490,London,Environmental Policy,2020-03-20,Future Design Strategy
GF10684,Mumbai,Environmental Policy,2023-04-08,Clean Technology Framework
GF12414,Mexico City,Engineering,2020-12-15,Eco Design Strategy
GF11583,Singapore,Consulting,2020-08-15,Urban Transport Plan
GF11771,Berlin,Urban Development,2020-05-14,Eco Technology Approach
GF10255,Berlin,Renewable Energy,2022-03-07,Eco Policy Approach
GF10558,Sydney,Urban Development,2022-12-04,Sustainable Housing Strategy
GF11863,São Paulo,Research,2023-11-24,Smart Energy Solution
GF10085,London,Renewable Energy,2021-04-04,Future Transport Strategy
GF11432,São Paulo,Urban Development,2020-05-17,Green Transport Plan
GF11843,Dubai,Consulting,2020-08-28,Renewable Housing Model
GF11848,Tokyo,Research,2022-01-26,Future Systems Project
GF11245,Paris,Consulting,2020-08-03,Urban Infrastructure Strategy
GF11758,Sydney,Renewable Energy,2022-03-12,Green Housing Plan
GF10116,São Paulo,Environmental Policy,2021-11-11,Green Energy Plan
GF10650,Sydney,Consulting,2022-04-13,Future Policy Approach
GF12137,London,Urban Development,2023-08-13,Sustainable Policy Plan
GF11331,Johannesburg,Research,2021-01-02,Renewable Policy Framework
GF12117,Dubai,Renewable Energy,2023-03-11,Sustainable Housing Approach
GF12109,Mexico City,Renewable Energy,2020-12-21,Clean Systems Strategy
GF12280,London,Urban Development,2022-01-09,Clean Systems Plan
GF10563,London,Urban Development,2022-10-17,Clean Technology Framework
GF11408,London,Environmental Policy,2023-06-09,Renewable Infrastructure Model
GF12049,Berlin,Engineering,2020-09-24,Green Design Plan
GF10430,Berlin,Urban Development,2023-04-17,Clean Design Model
GF12235,São Paulo,Research,2022-09-22,Green Energy Plan
GF11512,London,Urban Development,2023-01-02,Eco Infrastructure Strategy
GF10922,New York,Urban Development,2021-11-17,Renewable Transport Solution
GF12336,Dubai,Renewable Energy,2023-03-19,Clean Policy Model
GF11393,Toronto,Renewable Energy,2022-07-24,Renewable Policy Solution
GF10381,Dubai,Renewable Energy,2021-02-01,Green Energy Plan
GF11114,London,Environmental Policy,2023-04-23,Renewable Design Initiative
GF12074,São Paulo,Environmental Policy,2021-05-02,Future Energy Project
GF10997,Paris,Renewable Energy,2023-11-16,Eco Systems Plan
GF10833,São Paulo,Environmental Policy,2020-10-29,Future Policy Plan
GF11320,New York,Research,2020-08-07,Eco Design Model
GF11084,Singapore,Environmental Policy,2023-10-02,Sustainable Technology Plan
GF11631,Berlin,Environmental Policy,2021-01-02,Eco Infrastructure Model
GF10177,Mumbai,Environmental Policy,2020-02-20,Eco Systems Initiative
GF12051,London,Urban Development,2023-05-21,Smart Housing Project
GF10330,Mumbai,Environmental Policy,2021-03-16,Clean Energy Plan
GF10808,London,Consulting,2021-08-13,Eco Technology Project
GF12070,Sydney,Engineering,2020-11-21,Sustainable Housing Approach
GF10818,Toronto,Research,2020-08-04,Green Policy Framework
GF10071,London,Engineering,2020-10-25,Smart Policy Model
GF10796,São Paulo,Urban Development,2022-03-02,Urban Energy Initiative
GF11099,London,Research,2021-05-21,Eco Policy Solution
GF12313,Mumbai,Urban Development,2021-01-26,Green Transport Strategy
GF10946,Seoul,Environmental Policy,2023-05-09,Eco Energy Framework
GF10349,Sydney,Environmental Policy,2022-03-25,Renewable Infrastructure Project
GF12459,São Paulo,Renewable Energy,2023-06-09,Green Transport Strategy
GF11299,London,Environmental Policy,2022-05-10,Green Systems Plan
GF10344,Singapore,Environmental Policy,2021-06-17,Future Policy Framework
GF11398,Mumbai,Environmental Policy,2022-03-24,Future Systems Framework
GF12272,London,Renewable Energy,2023-10-02,Sustainable Infrastructure Project
GF12203,Dubai,Urban Development,2022-08-28,Future Energy Framework
GF10547,Toronto,Urban Development,2022-07-21,Urban Policy Project
GF12189,Berlin,Research,2020-02-19,Renewable Energy Plan
GF10555,Dubai,Research,2020-02-21,Eco Policy Model
GF11983,Berlin,Urban Development,2020-01-17,Renewable Transport Model
GF12017,Toronto,Urban Development,2022-10-17,Eco Housing Project
GF11632,New York,Research,2020-10-29,Future Policy Plan
GF10116,Tokyo,Urban Development,2020-03-14,Sustainable Design Project
GF11053,Johannesburg,Environmental Policy,2020-12-05,Sustainable Policy Initiative
GF12368,New York,Urban Development,2021-03-03,Green Technology Project
GF11992,Berlin,Renewable Energy,2021-03-03,Renewable Infrastructure Initiative
GF11395,Seoul,Research,2022-09-05,Urban Housing Plan
GF11622,New York,Research,2023-05-25,Renewable Infrastructure Plan
GF10919,Paris,Renewable Energy,2022-12-05,Green Transport Approach
GF12054,Paris,Renewable Energy,2021-05-14,Green Technology Plan
GF10517,London,Renewable Energy,2021-08-20,Smart Technology Initiative
GF12498,Toronto,Renewable Energy,2023-02-24,Sustainable Design Strategy
GF10025,Toronto,Renewable Energy,2021-12-01,Urban Technology Model
GF12463,Tokyo,Engineering,2022-08-04,Renewable Infrastructure Plan
GF12496,London,Urban Development,2022-06-25,Renewable Technology Initiative
GF12026,New York,Research,2023-05-12,Urban Technology Model
GF11407,London,Consulting,2023-12-16,Eco Transport Approach
GF12395,New York,Urban Development,2023-08-15,Clean Technology Framework
GF10502,Dubai,Research,2020-05-08,Renewable Technology Initiative
GF10215,Mexico City,Urban Development,2022-03-18,Sustainable Transport Model
GF11478,London,Research,2021-04-25,Green Technology Initiative
GF11888,Tokyo,Urban Development,2022-12-15,Green Transport Initiative
GF11483,Seoul,Engineering,2021-08-12,Renewable Transport Initiative
GF11724,São Paulo,Renewable Energy,2022-05-09,Clean Infrastructure Initiative
GF11293,Mumbai,Environmental Policy,2020-03-06,Clean Housing Approach
GF11470,London,Consulting,2021-05-06,Eco Technology Project
GF10888,Toronto,Renewable Energy,2022-10-23,Renewable Energy Model
GF11840,Seoul,Renewable Energy,2022-12-12,Clean Energy Framework
GF11406,Berlin,Urban Development,2023-07-28,Sustainable Energy Solution
GF10789,London,Renewable Energy,2023-10-20,Future Systems Framework
GF10741,Toronto,Research,2023-02-20,Green Energy Plan
GF11567,Stockholm,Environmental Policy,2022-10-06,Future Technology Initiative
GF10256,Tokyo,Environmental Policy,2020-03-01,Green Design Project
GF11699,Dubai,Consulting,2022-05-05,Clean Technology Project
GF11538,Dubai,Urban Development,2023-11-05,Smart Technology Plan
GF12050,New York,Urban Development,2023-03-22,Renewable Housing Plan
GF11088,Berlin,Environmental Policy,2021-07-28,Eco Policy Initiative
GF10717,Singapore,Research,2022-03-20,Eco Infrastructure Model
GF12290,Berlin,Renewable Energy,2023-05-12,Clean Energy Project
GF11542,New York,Research,2023-02-27,Renewable Technology Solution
GF11510,Stockholm,Renewable Energy,2020-03-24,Green Energy Solution
GF10284,Mumbai,Consulting,2021-01-17,Smart Housing Solution
GF11213,Johannesburg,Consulting,2022-07-20,Eco Technology Project
GF10502,London,Urban Development,2022-12-28,Green Infrastructure Initiative
GF11088,New York,Engineering,2022-06-30,Future Design Solution
GF12060,Toronto,Urban Development,2020-10-08,Future Design Initiative
GF12480,London,Environmental Policy,2020-02-25,Future Design Framework
GF11320,Seoul,Research,2021-12-06,Sustainable Technology Project
GF10225,New York,Research,2023-03-23,Renewable Transport Approach
GF11559,Berlin,Engineering,2021-12-30,Green Systems Approach
GF10212,New York,Environmental Policy,2020-04-30,Eco Housing Framework
GF12401,London,Environmental Policy,2021-06-14,Renewable Technology Plan
GF11591,New York,Environmental Policy,2021-01-22,Smart Housing Plan
GF11223,Tokyo,Environmental Policy,2022-01-27,Eco Systems Model
GF10441,Mumbai,Research,2023-04-06,Renewable Design Approach
GF11907,Tokyo,Urban Development,2022-05-07,Clean Energy Project
GF12350,Tokyo,Renewable Energy,2020-09-11,Renewable Technology Solution
GF11330,London,Environmental Policy,2020-04-13,Eco Design Strategy
GF10994,Tokyo,Urban Development,2021-11-30,Sustainable Energy Solution
GF11825,São Paulo,Environmental Policy,2022-06-10,Eco Systems Strategy
GF11090,New York,Environmental Policy,2020-02-05,Eco Transport Plan
GF11800,São Paulo,Urban Development,2021-01-09,Urban Technology Model
GF12306,Tokyo,Urban Development,2021-11-30,Renewable Design Approach
GF12341,Mumbai,Research,2020-05-24,Urban Infrastructure Framework
GF11410,London,Urban Development,2023-04-23,Sustainable Infrastructure Project
GF11018,Mexico City,Engineering,2021-02-16,Urban Design Project
GF11866,London,Research,2021-06-20,Sustainable Infrastructure Approach
GF12053,London,Consulting,2021-02-07,Urban Energy Initiative
GF12356,Sydney,Renewable Energy,2022-04-23,Sustainable Systems Initiative
GF11127,London,Renewable Energy,2023-09-16,Renewable Energy Initiative
GF11382,Singapore,Environmental Policy,2021-08-20,Sustainable Infrastructure Strategy
GF10200,Seoul,Research,2020-11-13,Eco Energy Plan
GF10747,Mexico City,Renewable Energy,2022-03-06,Clean Housing Model
GF10506,Singapore,Renewable Energy,2021-04-20,Urban Transport Strategy
GF10082,Stockholm,Engineering,2021-01-18,Future Policy Project
GF11754,Berlin,Research,2022-08-31,Green Transport Approach
GF12034,Mexico City,Consulting,2023-10-11,Smart Infrastructure Plan
GF10541,Tokyo,Urban Development,2021-03-11,Clean Design Approach
GF11956,Paris,Environmental Policy,2021-06-06,Renewable Infrastructure Approach
GF12192,London,Research,2023-12-07,Sustainable Infrastructure Framework
GF10176,Stockholm,Environmental Policy,2020-02-20,Future Policy Framework
GF11927,Johannesburg,Renewable Energy,2022-05-07,Smart Housing Initiative
GF12220,Johannesburg,Environmental Policy,2023-05-04,Eco Infrastructure Approach
GF10580,London,Consulting,2020-07-05,Urban Infrastructure Strategy
GF11335,São Paulo,Renewable Energy,2021-02-20,Eco Policy Model
GF11515,London,Environmental Policy,2022-04-30,Eco Housing Initiative
GF10905,Singapore,Engineering,2023-05-10,Green Infrastructure Framework
GF12449,London,Urban Development,2020-02-14,Smart Transport Initiative
GF10132,London,Urban Development,2023-02-22,Sustainable Technology Strategy
GF11899,New York,Research,2023-05-31,Urban Policy Project
GF12065,Mexico City,Urban Development,2021-08-29,Urban Systems Solution
GF12464,Tokyo,Consulting,2023-06-01,Green Systems Model
GF11183,São Paulo,Engineering,2023-12-09,Eco Transport Initiative
GF12377,São Paulo,Urban Development,2022-07-29,Green Design Strategy
GF10058,New York,Renewable Energy,2022-07-14,Sustainable Infrastructure Framework
GF11314,São Paulo,Environmental Policy,2020-08-19,Future Design Framework
GF11584,Mumbai,Engineering,2022-11-16,Renewable Systems Framework
GF10933,Tokyo,Consulting,2022-01-07,Urban Policy Solution
GF10257,Berlin,Renewable Energy,2022-10-09,Clean Infrastructure Strategy
GF11038,Toronto,Engineering,2021-12-05,Smart Systems Initiative
GF11168,Paris,Environmental Policy,2021-02-08,Eco Policy Project
GF10689,São Paulo,Consulting,2022-06-22,Renewable Systems Model
GF11705,Stockholm,Engineering,2022-04-30,Green Infrastructure Model
GF11465,São Paulo,Renewable Energy,2020-04-11,Renewable Systems Framework
GF11741,Toronto,Environmental Policy,2023-11-03,Green Technology Project
GF10178,London,Engineering,2021-02-15,Clean Design Model
GF12487,Toronto,Engineering,2020-01-05,Eco Infrastructure Model
GF10054,Paris,Consulting,2022-11-19,Smart Transport Plan
GF12035,New York,Engineering,2020-06-09,Green Systems Initiative
GF10675,London,Consulting,2020-04-17,Future Design Solution
GF10812,Berlin,Environmental Policy,2020-08-04,Future Housing Project
GF10191,Berlin,Environmental Policy,2023-12-22,Sustainable Systems Model
GF11104,Johannesburg,Renewable Energy,2021-07-05,Urban Technology Plan
GF12150,London,Urban Development,2022-11-25,Eco Transport Plan
GF10680,Paris,Urban Development,2022-10-18,Sustainable Systems Solution
GF12176,Singapore,Consulting,2020-12-24,Clean Energy Model
GF10795,Mexico City,Urban Development,2023-08-13,Green Systems Approach
GF11241,Mumbai,Engineering,2023-10-26,Clean Housing Model
GF12048,Dubai,Renewable Energy,2022-09-11,Smart Infrastructure Solution
GF11915,Tokyo,Environmental Policy,2020-09-10,Green Transport Project
GF10919,Tokyo,Environmental Policy,2021-01-09,Future Design Project
GF11157,Berlin,Renewable Energy,2021-05-12,Clean Energy Initiative
GF12162,Sydney,Urban Development,2020-02-02,Green Infrastructure Initiative
GF10378,Tokyo,Consulting,2023-09-03,Smart Systems Framework
GF10423,New York,Environmental Policy,2023-08-13,Eco Energy Initiative
GF11814,Paris,Engineering,2020-07-08,Clean Design Framework
GF12233,Mexico City,Research,2021-12-30,Smart Energy Initiative
GF12284,Tokyo,Consulting,2020-04-06,Clean Policy Strategy
GF11145,Mumbai,Urban Development,2023-01-04,Sustainable Design Initiative
GF10800,Tokyo,Renewable Energy,2023-01-28,Urban Housing Model
GF12133,New York,Renewable Energy,2022-07-30,Renewable Systems Plan
GF10278,Tokyo,Engineering,2023-10-04,Urban Infrastructure Initiative
GF11608,Tokyo,Environmental Policy,2020-01-11,Sustainable Technology Approach
GF11665,Mexico City,Research,2020-08-24,Eco Technology Plan
GF11838,Dubai,Renewable Energy,2020-10-17,Urban Technology Model
GF10455,Singapore,Engineering,2021-10-06,Green Technology Strategy
GF10247,Stockholm,Environmental Policy,2023-03-31,Urban Infrastructure Solution
GF12335,Berlin,Renewable Energy,2023-05-13,Renewable Systems Strategy
GF11773,New York,Environmental Policy,2021-04-25,Eco Energy Framework
GF11786,London,Environmental Policy,2021-11-21,Sustainable Transport Project
GF12119,Tokyo,Urban Development,2022-04-13,Clean Technology Plan
GF11461,London,Research,2022-01-15,Clean Technology Approach
GF10631,London,Environmental Policy,2022-04-21,Clean Design Initiative
GF12021,Mumbai,Engineering,2023-01-07,Renewable Infrastructure Project
GF10552,Tokyo,Engineering,2021-07-06,Urban Policy Framework
GF10797,São Paulo,Renewable Energy,2021-11-09,Green Infrastructure Framework
GF10867,New York,Environmental Policy,2020-03-11,Sustainable Policy Approach
GF10989,Singapore,Research,2020-12-22,Sustainable Systems Plan
GF10154,New York,Renewable Energy,2022-10-16,Renewable Transport Initiative
GF11002,Tokyo,Engineering,2023-03-24,Eco Infrastructure Initiative
GF10853,Sydney,Engineering,2023-03-26,Sustainable Energy Approach
GF10301,São Paulo,Renewable Energy,2021-02-27,Renewable Housing Project
GF11654,Tokyo,Engineering,2021-07-24,Smart Design Model
GF10106,São Paulo,Environmental Policy,2022-11-15,Clean Energy Framework
GF10045,Singapore,Research,2020-06-14,Clean Systems Initiative
GF11689,Paris,Research,2020-12-07,Future Technology Approach
GF11319,São Paulo,Renewable Energy,2020-03-17,Future Policy Solution
GF12241,New York,Renewable Energy,2022-09-03,Renewable Housing Initiative
GF10123,Sydney,Environmental Policy,2021-03-02,Smart Energy Solution
GF10172,Sydney,Urban Development,2020-06-25,Green Design Framework
GF11010,New York,Urban Development,2022-02-05,Renewable Technology Plan
GF11785,Dubai,Renewable Energy,2022-01-27,Sustainable Energy Approach
GF11194,Toronto,Engineering,2023-01-07,Future Policy Approach
GF10762,Sydney,Environmental Policy,2020-12-17,Green Energy Approach
GF11246,New York,Engineering,2022-03-14,Green Systems Project
GF10462,Tokyo,Environmental Policy,2020-08-12,Sustainable Infrastructure Model
GF11158,Stockholm,Renewable Energy,2021-01-05,Smart Housing Approach
GF11331,Mumbai,Renewable Energy,2022-05-04,Eco Policy Approach
GF10869,Sydney,Engineering,2023-02-23,Future Transport Approach
GF12112,Singapore,Renewable Energy,2022-05-19,Sustainable Policy Solution
GF10107,New York,Consulting,2020-12-18,Green Infrastructure Plan
GF11481,Toronto,Urban Development,2020-03-24,Smart Systems Project
GF10627,Dubai,Urban Development,2022-05-10,Renewable Infrastructure Project
GF11909,Singapore,Research,2020-08-25,Renewable Technology Solution
GF10922,London,Engineering,2021-12-27,Smart Energy Framework
GF11697,London,Research,2020-07-04,Renewable Technology Framework
GF10910,Tokyo,Engineering,2020-09-18,Urban Housing Approach
GF12092,Stockholm,Environmental Policy,2023-05-23,Green Energy Strategy
GF11781,Toronto,Urban Development,2020-12-06,Renewable Infrastructure Solution
GF11601,Tokyo,Renewable Energy,2020-04-29,Clean Technology Solution
GF12296,Tokyo,Consulting,2020-11-13,Renewable Systems Framework
GF10774,New York,Environmental Policy,2023-09-20,Clean Energy Project
GF11598,Berlin,Consulting,2021-04-02,Smart Policy Approach
GF10316,New York,Environmental Policy,2022-06-08,Smart Policy Approach
GF12036,Johannesburg,Urban Development,2021-02-11,Renewable Systems Approach
GF10175,Toronto,Environmental Policy,2022-06-02,Future Systems Strategy
GF11175,Tokyo,Consulting,2021-07-30,Renewable Infrastructure Initiative
GF10571,Paris,Engineering,2021-11-01,Green Policy Approach
GF11949,Tokyo,Urban Development,2022-03-06,Urban Energy Solution
GF10438,Mexico City,Renewable Energy,2020-07-09,Renewable Housing Strategy
GF10517,London,Urban Development,2021-01-09,Future Energy Plan
GF10500,Singapore,Research,2023-10-21,Sustainable Energy Model
GF11885,Toronto,Renewable Energy,2020-07-05,Smart Policy Strategy
GF11446,Berlin,Engineering,2021-05-16,Future Design Framework
GF12261,London,Urban Development,2023-10-21,Green Housing Solution
GF10072,London,Urban Development,2022-06-14,Clean Housing Approach
GF11823,Tokyo,Consulting,2020-08-12,Renewable Housing Solution
GF12134,Stockholm,Urban Development,2023-01-11,Clean Design Model
GF11446,Mumbai,Environmental Policy,2023-11-23,Green Energy Initiative
GF11183,Tokyo,Urban Development,2021-03-08,Renewable Housing Framework
GF11486,Mumbai,Urban Development,2023-04-05,Smart Systems Project
